URL,본문,좋아요 수
https://www.instagram.com/fcbarcelona/p/DJhUuUWMuFo/,💙 FAMILÍA BLAUGRANA ❤️,0
https://www.instagram.com/fcbarcelona/p/DJg7APSMB5s/,All roads lead to this moment 😤,0
https://www.instagram.com/fcbarcelona/p/DJhQonBs5B1/,EL CLÁSICO IS BLAUGRANA!!!! 💙❤️,0
https://www.instagram.com/fcbarcelona/p/DJhR6fCoceE/,"It’s cold at the top 🥶

A dos punts de ser campions 🥇
7 puntos de ventaja. 9 puntos en juego.",0
https://www.instagram.com/fcbarcelona/p/DJhHv05MJGl/,The Barça Mission. 🥶,0
https://www.instagram.com/fcbarcelona/p/DJhLVDmsdR7/,Goal Ryan. 😜,0
https://www.instagram.com/fcbarcelona/p/DJhSfWZoy6I/,"Highest in LaLiga 🪜☁️🏆
@spotify @travisscott 🌵",0
https://www.instagram.com/fcbarcelona/p/DJhOaACsy0N/,"🔥 WHAT A CLASICO! 🔥
#ElClásico",0
https://www.instagram.com/fcbarcelona/p/DJhmvHbuRCN/,"Iconic visit for an iconic game 💥

🫶Thanks for the visit, @terrycrews & @thierryhenry",0
https://www.instagram.com/fcbarcelona/p/DJhdmlZs0iC/,Greatness meets the future.,0
