작성자,리뷰내용,작성일
Joy9550,진짜진짜 친절하고 짱짱 맛있는 곳!,4.24.목
좋으면박수침,"아주 배부르고 맛있게 먹었어요!
새로 오픈해서 인테리어도 깔끔하고 좋았어요😁
두부를 좋아해서 추가로 먹어봤는데 아주 부드럽고 맛있었네용👍👍👍👍
직원분들도 친절하게 응대해주셔서 기분좋은 한끼였답니다🥰🥰🥰🥰
다음번에 재방문의사 10000000% 👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏",2.6.목
Joy9550,맛있어용! 그리고 친절해요!!,4.7.월
단발머리온니,"점심 조금 지나 방문했더니 편안하게 매장에서 먹었어요
다이어트 시작해야겠다 싶어 찾아갔는데,
저는 망했어요 🫣 너무 맛있어서 저거 다먹고 왔어요
오픈이벤트로 주신 죽 너무 맛있어요 :)
다음엔 다른 죽브랜드 말고 샐러디 죽 먹어야겠다 싶었어요
웜볼도 맛있었는데 랩안에 나쵸가 적절하게 바삭하고 에그마요랑 잘 어울려요 대만족입니다",2.6.목
먹쮜,"신상 매장이라서 수저나 집기류가 굉장히 깨끗해요 새것처럼 잘 관리하시는거 같아요
물도 메밀물? 같이 차라서 좋아용",4.1.화
봄놀다89,친구랑 같이 방문했어요! 한번 맛보니까 자꾸자꾸 생각나요 속도 편안하고 맛있어요 👍👍👍👍,2.19.수
wls****,"샐러드 먹고 싶을때마다 갑니다
맛있는데 샐러드 양이 좀 더 많았음 좋겠어요",4.8.화
해마855,"안쪽에 생각보다 자리 많고(10자리 정도) 1인석도 있어서 점심시간에 혼자 밥 먹기 좋아요!!
이지웰페이는 아직 안되는 것 같아요",1.22.수
먹쮜,"마쉿고 빠르고 친절하셔용
근처 샐러드 집이 없어서 자주 갑니당",4.17.목
닉네임은 어렵다ㅋㅋ,"속 니글니글 거려서 간단하게 샐러드 포장해서 사무실 올라왔는데...기본인 탄탄지 오랜만에 먹었는데..
여기 지점 확실히 더 맛나네요👍🏻👍🏻

티데이 쿠폰있어서 예전에 타 지점에서 먹고 실망 해서 탄탄지는 안 먹었는데..

이 지점은 ..고구마 무스와 로메인 ..
그리고 닭가슴살 다 신선했어요!!!
직원분들도 친절 하시고 자주 방문 할거 같아요!

기본인 탄탄지도 맛나니 다른 메뉴도 먹으러 가볼게요 ㅎ",2.4.화
